"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","search6",,,,"User:","a57816"
"Cmdline:","dstat -tvfnml --output __.csv",,,,"Date:","22 Feb 2016 19:55:37 WET"

"system","procs",,,"memory usage",,,,"paging",,"dsk/sda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"net/eth1",,"memory usage",,,,"load avg",,
22-02 19:55:47,1.0,0.0,0.0,1279266816.0,20553728.0,2041782272.0,813068288.0,0.0,0.0,0.0,0.0,1955.0,2949.0,2.105,1.053,96.842,0.0,0.0,0.0,819.0,977.0,873276.0,27926.0,1279266816.0,20553728.0,2041782272.0,813068288.0,0.350,0.390,0.440
22-02 19:55:48,1.0,0.0,0.0,1279303680.0,20561920.0,2042626048.0,812179456.0,0.0,0.0,0.0,24576.0,2011.0,3107.0,3.061,1.020,90.816,4.082,1.020,0.0,6024.0,9442.0,889556.0,27616.0,1279303680.0,20561920.0,2042626048.0,812179456.0,0.350,0.390,0.440
22-02 19:55:49,1.0,0.0,0.0,1279262720.0,20561920.0,2043555840.0,811290624.0,0.0,0.0,0.0,0.0,2089.0,3295.0,3.125,1.042,94.792,0.0,0.0,1.042,5380.0,861.0,921780.0,31180.0,1279262720.0,20561920.0,2043555840.0,811290624.0,0.350,0.390,0.440
22-02 19:55:50,1.0,0.0,1.0,1279324160.0,20561920.0,2044510208.0,810274816.0,0.0,0.0,0.0,69632.0,2170.0,3346.0,3.158,2.105,94.737,0.0,0.0,0.0,7504.0,7508.0,1004584.0,33200.0,1279324160.0,20561920.0,2044510208.0,810274816.0,0.350,0.390,0.440
22-02 19:55:51,2.0,0.0,0.0,1279492096.0,20561920.0,2045358080.0,809259008.0,0.0,0.0,0.0,0.0,2260.0,6604.0,10.417,14.583,72.917,0.0,0.0,2.083,2219.0,11815.0,942864.0,45664.0,1279492096.0,20561920.0,2045358080.0,809259008.0,0.350,0.390,0.440
22-02 19:55:52,1.0,0.0,0.0,1279459328.0,20561920.0,2046279680.0,808370176.0,0.0,0.0,0.0,0.0,2054.0,3154.0,3.125,1.042,95.833,0.0,0.0,0.0,12524.0,0.0,970690.0,29724.0,1279459328.0,20561920.0,2046279680.0,808370176.0,0.320,0.390,0.440
22-02 19:55:53,1.0,0.0,0.0,1279463424.0,20561920.0,2047164416.0,807481344.0,0.0,0.0,0.0,0.0,3583.0,3160.0,2.222,2.222,93.333,0.0,1.111,1.111,100243.0,32261998.0,915576.0,27750.0,1279463424.0,20561920.0,2047164416.0,807481344.0,0.320,0.390,0.440
22-02 19:55:54,1.0,0.0,0.0,1279389696.0,20561920.0,2048126976.0,806592512.0,0.0,0.0,0.0,0.0,2025.0,3137.0,2.083,1.042,95.833,0.0,0.0,1.042,362.0,294.0,952909.0,29088.0,1279389696.0,20561920.0,2048126976.0,806592512.0,0.320,0.390,0.440
22-02 19:55:55,1.0,0.0,1.0,1279938560.0,20561920.0,2048856064.0,805314560.0,0.0,0.0,0.0,0.0,2064.0,3022.0,7.368,4.211,88.421,0.0,0.0,0.0,4344.0,683.0,873586.0,46346.0,1279938560.0,20561920.0,2048856064.0,805314560.0,0.320,0.390,0.440
22-02 19:55:56,1.0,0.0,1.0,1279541248.0,20561920.0,2049753088.0,804814848.0,0.0,0.0,0.0,0.0,2013.0,3104.0,3.093,1.031,94.845,0.0,0.0,1.031,1278.0,6707.0,884950.0,34784.0,1279541248.0,20561920.0,2049753088.0,804814848.0,0.320,0.390,0.440
22-02 19:55:57,1.0,0.0,0.0,1279520768.0,20561920.0,2050789376.0,803799040.0,0.0,0.0,0.0,0.0,1941.0,2988.0,3.158,1.053,94.737,0.0,1.053,0.0,5830.0,1502.0,859258.0,25014.0,1279520768.0,20561920.0,2050789376.0,803799040.0,0.300,0.380,0.440
22-02 19:55:58,2.0,0.0,0.0,1279557632.0,20561920.0,2051641344.0,802910208.0,0.0,0.0,0.0,0.0,2027.0,3184.0,3.093,1.031,94.845,0.0,0.0,1.031,4301.0,152.0,938042.0,28750.0,1279557632.0,20561920.0,2051641344.0,802910208.0,0.300,0.380,0.440
22-02 19:55:59,1.0,0.0,1.0,1279684608.0,20561920.0,2052530176.0,801894400.0,0.0,0.0,0.0,0.0,2010.0,3039.0,3.158,1.053,95.789,0.0,0.0,0.0,3612.0,3956.0,903624.0,34432.0,1279684608.0,20561920.0,2052530176.0,801894400.0,0.300,0.380,0.440
22-02 19:56:00,1.0,0.0,0.0,1279655936.0,20561920.0,2053447680.0,801005568.0,0.0,0.0,0.0,0.0,2024.0,3173.0,2.105,0.0,96.842,0.0,0.0,1.053,1030.0,13510.0,937544.0,28540.0,1279655936.0,20561920.0,2053447680.0,801005568.0,0.300,0.380,0.440
22-02 19:56:01,1.0,0.0,1.0,1279688704.0,20570112.0,2054295552.0,800116736.0,0.0,0.0,0.0,16384.0,2008.0,3128.0,3.125,2.083,86.458,8.333,0.0,0.0,1997.0,4052.0,910412.0,34178.0,1279688704.0,20570112.0,2054295552.0,800116736.0,0.300,0.380,0.440
22-02 19:56:02,1.0,0.0,0.0,1279721472.0,20570112.0,2055151616.0,799227904.0,0.0,0.0,0.0,0.0,2079.0,3247.0,3.125,0.0,95.833,0.0,0.0,1.042,4974.0,877.0,922450.0,33082.0,1279721472.0,20570112.0,2055151616.0,799227904.0,0.270,0.370,0.440
22-02 19:56:03,1.0,0.0,0.0,1279729664.0,20578304.0,2056015872.0,798347264.0,0.0,0.0,0.0,16384.0,2008.0,3120.0,2.105,2.105,93.684,2.105,0.0,0.0,1149.0,793.0,918832.0,27838.0,1279729664.0,20578304.0,2056015872.0,798347264.0,0.270,0.370,0.440
22-02 19:56:04,2.0,0.0,0.0,1279778816.0,20578304.0,2056982528.0,797331456.0,0.0,0.0,0.0,0.0,2017.0,3071.0,3.093,0.0,94.845,0.0,1.031,1.031,4357.0,194.0,972534.0,29114.0,1279778816.0,20578304.0,2056982528.0,797331456.0,0.270,0.370,0.440
22-02 19:56:05,1.0,0.0,0.0,1279733760.0,20578304.0,2057789440.0,796569600.0,0.0,0.0,0.0,0.0,1899.0,2964.0,2.062,2.062,95.876,0.0,0.0,0.0,9193.0,246.0,847373.0,26334.0,1279733760.0,20578304.0,2057789440.0,796569600.0,0.270,0.370,0.440
22-02 19:56:06,3.0,0.0,1.0,1280278528.0,20578304.0,2058649600.0,795164672.0,0.0,0.0,0.0,0.0,2110.0,6543.0,9.375,11.458,78.125,0.0,0.0,1.042,2607.0,929.0,955635.0,36502.0,1280225280.0,20578304.0,2058702848.0,795164672.0,0.270,0.370,0.440
22-02 19:56:07,1.0,0.0,0.0,1280045056.0,20578304.0,2059636736.0,794411008.0,0.0,0.0,0.0,0.0,2280.0,3250.0,10.526,7.368,82.105,0.0,0.0,0.0,16967.0,28119.0,988572.0,29826.0,1280045056.0,20578304.0,2059636736.0,794411008.0,0.250,0.370,0.430
22-02 19:56:08,3.0,0.0,0.0,1280094208.0,20578304.0,2060476416.0,793522176.0,0.0,0.0,0.0,0.0,2033.0,3059.0,3.158,0.0,96.842,0.0,0.0,0.0,2399.0,10958.0,925048.0,30440.0,1280094208.0,20578304.0,2060476416.0,793522176.0,0.250,0.370,0.430
22-02 19:56:09,1.0,0.0,0.0,1280147456.0,20578304.0,2061438976.0,792506368.0,0.0,0.0,0.0,200704.0,2023.0,3064.0,3.093,1.031,94.845,0.0,0.0,1.031,1666.0,430.0,949290.0,29218.0,1280147456.0,20578304.0,2061438976.0,792506368.0,0.250,0.370,0.430
22-02 19:56:10,1.0,0.0,0.0,1279209472.0,20578304.0,2062249984.0,792633344.0,0.0,0.0,0.0,0.0,2151.0,3237.0,3.125,1.042,94.792,0.0,1.042,0.0,5493.0,12343.0,948860.0,26518.0,1279209472.0,20578304.0,2062249984.0,792633344.0,0.250,0.370,0.430
22-02 19:56:11,1.0,0.0,1.0,1277620224.0,20586496.0,2063052800.0,793411584.0,0.0,0.0,0.0,28672.0,1963.0,2984.0,2.062,2.062,90.722,4.124,0.0,1.031,7738.0,18598.0,829710.0,27092.0,1277620224.0,20586496.0,2063052800.0,793411584.0,0.250,0.370,0.430
22-02 19:56:12,1.0,0.0,1.0,1278959616.0,20586496.0,2063880192.0,791244800.0,0.0,0.0,0.0,0.0,2154.0,3165.0,6.316,2.105,91.579,0.0,0.0,0.0,38765.0,9115.0,918904.0,32544.0,1278959616.0,20586496.0,2063880192.0,791244800.0,0.230,0.360,0.430
22-02 19:56:13,1.0,0.0,1.0,1280729088.0,20586496.0,2064785408.0,788570112.0,0.0,0.0,0.0,0.0,2203.0,3144.0,5.155,2.062,90.722,0.0,1.031,1.031,28076.0,29638.0,866626.0,30192.0,1280729088.0,20586496.0,2064785408.0,788570112.0,0.230,0.360,0.430
22-02 19:56:14,1.0,0.0,0.0,1280724992.0,20586496.0,2065678336.0,787681280.0,0.0,0.0,0.0,0.0,1996.0,3191.0,3.093,1.031,94.845,0.0,0.0,1.031,2115.0,330.0,957042.0,26296.0,1280724992.0,20586496.0,2065678336.0,787681280.0,0.230,0.360,0.430
22-02 19:56:15,1.0,0.0,0.0,1279111168.0,20594688.0,2066513920.0,788451328.0,0.0,0.0,0.0,20480.0,2001.0,3038.0,2.128,1.064,94.681,2.128,0.0,0.0,11582.0,19878.0,867740.0,27024.0,1279111168.0,20594688.0,2066513920.0,788451328.0,0.230,0.360,0.430
22-02 19:56:16,1.0,0.0,0.0,1279172608.0,20594688.0,2067468288.0,787435520.0,0.0,0.0,0.0,0.0,2051.0,3108.0,3.125,1.042,95.833,0.0,0.0,0.0,33991.0,885.0,984747.0,28740.0,1279172608.0,20594688.0,2067468288.0,787435520.0,0.230,0.360,0.430
22-02 19:56:17,1.0,0.0,0.0,1279188992.0,20602880.0,2068332544.0,786546688.0,0.0,0.0,0.0,16384.0,1996.0,3074.0,3.093,2.062,84.536,10.309,0.0,0.0,9189.0,220.0,931802.0,27678.0,1279188992.0,20602880.0,2068332544.0,786546688.0,0.210,0.350,0.430
22-02 19:56:18,0.0,0.0,2.0,1279610880.0,20611072.0,2069180416.0,785268736.0,0.0,0.0,8192.0,4096.0,2057.0,3148.0,4.211,2.105,91.579,1.053,0.0,1.053,2899.0,2078.0,922310.0,27868.0,1279610880.0,20611072.0,2069180416.0,785268736.0,0.210,0.350,0.430
22-02 19:56:19,1.0,0.0,1.0,1278214144.0,20611072.0,2070315008.0,785530880.0,12288.0,0.0,12288.0,12288.0,2177.0,3195.0,4.255,4.255,90.426,1.064,0.0,0.0,6399.0,29446.0,947264.0,29816.0,1278214144.0,20611072.0,2070315008.0,785530880.0,0.210,0.350,0.430
22-02 19:56:20,1.0,0.0,2.0,1277730816.0,20611072.0,2071171072.0,785158144.0,0.0,0.0,0.0,0.0,2030.0,3010.0,4.167,2.083,93.750,0.0,0.0,0.0,4076.0,348.0,950072.0,33954.0,1277730816.0,20611072.0,2071171072.0,785158144.0,0.210,0.350,0.430
22-02 19:56:21,1.0,0.0,1.0,1277693952.0,20611072.0,2072223744.0,784142336.0,0.0,0.0,0.0,0.0,2125.0,3316.0,3.093,2.062,92.784,0.0,1.031,1.031,9059.0,13782.0,1022692.0,28680.0,1277693952.0,20611072.0,2072223744.0,784142336.0,0.210,0.350,0.430
22-02 19:56:22,1.0,0.0,1.0,1277796352.0,20611072.0,2073010176.0,783253504.0,0.0,0.0,0.0,0.0,2013.0,6975.0,12.371,13.402,73.196,0.0,0.0,1.031,4806.0,0.0,845604.0,24094.0,1277796352.0,20611072.0,2073010176.0,783253504.0,0.200,0.350,0.430
22-02 19:56:23,1.0,0.0,0.0,1277030400.0,20619264.0,2073894912.0,783126528.0,0.0,0.0,0.0,73728.0,3447.0,3177.0,3.226,3.226,83.871,8.602,0.0,1.075,103481.0,27586358.0,946590.0,28342.0,1277030400.0,20619264.0,2073894912.0,783126528.0,0.200,0.350,0.430
22-02 19:56:24,1.0,0.0,0.0,1277136896.0,20627456.0,2074796032.0,782110720.0,0.0,0.0,0.0,40960.0,2044.0,3115.0,2.105,1.053,92.632,3.158,0.0,1.053,22196.0,1544.0,954226.0,28152.0,1277136896.0,20627456.0,2074796032.0,782110720.0,0.200,0.350,0.430
22-02 19:56:25,1.0,0.0,0.0,1277136896.0,20627456.0,2075684864.0,781221888.0,0.0,0.0,0.0,0.0,2101.0,3153.0,3.093,1.031,94.845,0.0,1.031,0.0,594.0,320.0,946300.0,40610.0,1277136896.0,20627456.0,2075684864.0,781221888.0,0.200,0.350,0.430
22-02 19:56:26,1.0,0.0,0.0,1277165568.0,20627456.0,2076545024.0,780333056.0,0.0,0.0,0.0,0.0,1945.0,3145.0,3.125,1.042,95.833,0.0,0.0,0.0,4942.0,11821.0,900676.0,30940.0,1277165568.0,20627456.0,2076545024.0,780333056.0,0.200,0.350,0.430
22-02 19:56:27,1.0,0.0,85.0,1277259776.0,20627456.0,2077466624.0,779317248.0,0.0,0.0,0.0,0.0,2166.0,3367.0,4.211,7.368,88.421,0.0,0.0,0.0,37526.0,6441.0,959300.0,30082.0,1277259776.0,20627456.0,2077466624.0,779317248.0,0.180,0.340,0.420
22-02 19:56:28,1.0,0.0,0.0,1277214720.0,20627456.0,2078273536.0,778555392.0,0.0,0.0,0.0,0.0,1980.0,2990.0,2.083,2.083,95.833,0.0,0.0,0.0,9356.0,1217.0,882520.0,27346.0,1277214720.0,20627456.0,2078273536.0,778555392.0,0.180,0.340,0.420
22-02 19:56:29,0.0,0.0,0.0,1277128704.0,20627456.0,2079248384.0,777666560.0,0.0,0.0,0.0,0.0,1991.0,3125.0,3.125,0.0,95.833,0.0,0.0,1.042,4720.0,178.0,929380.0,27196.0,1277128704.0,20627456.0,2079248384.0,777666560.0,0.180,0.340,0.420
22-02 19:56:30,0.0,0.0,0.0,1277276160.0,20627456.0,2080116736.0,776650752.0,0.0,0.0,0.0,0.0,2071.0,3129.0,3.158,1.053,95.789,0.0,0.0,0.0,27247.0,2271.0,955783.0,30050.0,1277276160.0,20627456.0,2080116736.0,776650752.0,0.180,0.340,0.420
22-02 19:56:31,2.0,0.0,0.0,1277198336.0,20627456.0,2080956416.0,775888896.0,0.0,0.0,0.0,0.0,1984.0,3081.0,2.041,1.020,94.898,0.0,1.020,1.020,14628.0,1866.0,905262.0,26898.0,1277198336.0,20627456.0,2080956416.0,775888896.0,0.180,0.340,0.420
22-02 19:56:32,1.0,0.0,0.0,1277235200.0,20627456.0,2081808384.0,775000064.0,0.0,0.0,0.0,0.0,2003.0,3067.0,2.105,1.053,96.842,0.0,0.0,0.0,12925.0,767.0,907970.0,27196.0,1277235200.0,20627456.0,2081808384.0,775000064.0,0.160,0.340,0.420
22-02 19:56:33,2.0,0.0,0.0,1277239296.0,20627456.0,2082693120.0,774111232.0,0.0,0.0,0.0,0.0,1954.0,3040.0,2.083,1.042,95.833,0.0,0.0,1.042,608.0,608.0,917938.0,26960.0,1277239296.0,20627456.0,2082693120.0,774111232.0,0.160,0.340,0.420
22-02 19:56:34,2.0,0.0,1.0,1278406656.0,20627456.0,2083692544.0,771944448.0,0.0,0.0,0.0,20480.0,2211.0,3248.0,5.263,2.105,92.632,0.0,0.0,0.0,14948.0,14395.0,989846.0,34058.0,1278406656.0,20627456.0,2083692544.0,771944448.0,0.160,0.340,0.420
22-02 19:56:35,1.0,0.0,0.0,1278455808.0,20627456.0,2084532224.0,771055616.0,0.0,0.0,0.0,12288.0,1985.0,3032.0,2.105,2.105,95.789,0.0,0.0,0.0,29468.0,0.0,921584.0,27742.0,1278455808.0,20627456.0,2084532224.0,771055616.0,0.160,0.340,0.420
22-02 19:56:36,0.0,0.0,0.0,1276932096.0,20627456.0,2085412864.0,771698688.0,0.0,0.0,0.0,0.0,2059.0,3131.0,3.125,1.042,95.833,0.0,0.0,0.0,3493.0,18641.0,929334.0,28084.0,1276932096.0,20627456.0,2085412864.0,771698688.0,0.160,0.340,0.420
22-02 19:56:37,1.0,0.0,2.0,1283502080.0,20627456.0,2086215680.0,764325888.0,0.0,0.0,0.0,0.0,2204.0,6878.0,17.347,16.327,64.286,0.0,0.0,2.041,46116.0,18240.0,857844.0,26364.0,1283502080.0,20627456.0,2086215680.0,764325888.0,0.150,0.330,0.420
22-02 19:56:38,1.0,0.0,1.0,1284939776.0,20627456.0,2087071744.0,762032128.0,0.0,0.0,0.0,0.0,2119.0,3215.0,6.250,2.083,90.625,0.0,1.042,0.0,17325.0,37288.0,903872.0,28906.0,1284939776.0,20627456.0,2087071744.0,762032128.0,0.150,0.330,0.420
22-02 19:56:39,0.0,0.0,1.0,1286553600.0,20627456.0,2088005632.0,759484416.0,0.0,0.0,0.0,200704.0,2173.0,3180.0,5.155,2.062,90.722,1.031,0.0,1.031,10768.0,22424.0,919576.0,33240.0,1286553600.0,20627456.0,2088005632.0,759484416.0,0.150,0.330,0.420
22-02 19:56:40,0.0,0.0,0.0,1286754304.0,20635648.0,2088812544.0,758468608.0,0.0,0.0,0.0,16384.0,2051.0,3124.0,2.128,1.064,93.617,3.191,0.0,0.0,15568.0,22257.0,910030.0,28312.0,1286754304.0,20635648.0,2088812544.0,758468608.0,0.150,0.330,0.420
22-02 19:56:41,0.0,0.0,0.0,1286705152.0,20635648.0,2089750528.0,757579776.0,0.0,0.0,0.0,0.0,2020.0,3142.0,3.125,1.042,94.792,0.0,0.0,1.042,6682.0,11215.0,901236.0,27862.0,1286705152.0,20635648.0,2089750528.0,757579776.0,0.150,0.330,0.420
22-02 19:56:42,1.0,0.0,1.0,1287172096.0,20635648.0,2090561536.0,756301824.0,0.0,0.0,0.0,0.0,2071.0,3072.0,5.208,4.167,89.583,0.0,0.0,1.042,6093.0,7475.0,901692.0,33209.0,1287172096.0,20635648.0,2090561536.0,756301824.0,0.140,0.320,0.420
22-02 19:56:43,1.0,0.0,0.0,1286918144.0,20635648.0,2091442176.0,755675136.0,0.0,0.0,0.0,0.0,2065.0,3138.0,4.124,1.031,94.845,0.0,0.0,0.0,7653.0,3759.0,949118.0,29568.0,1286918144.0,20635648.0,2091442176.0,755675136.0,0.140,0.320,0.420
22-02 19:56:44,0.0,0.0,0.0,1287032832.0,20635648.0,2092343296.0,754659328.0,0.0,0.0,0.0,0.0,2215.0,3292.0,2.128,1.064,95.745,0.0,1.064,0.0,44558.0,20522.0,937878.0,29502.0,1287032832.0,20635648.0,2092343296.0,754659328.0,0.140,0.320,0.420
22-02 19:56:45,1.0,0.0,0.0,1285238784.0,20643840.0,2093232128.0,755556352.0,0.0,0.0,0.0,20480.0,2198.0,3178.0,3.158,1.053,92.632,2.105,0.0,1.053,49122.0,36872.0,898440.0,29172.0,1285238784.0,20643840.0,2093232128.0,755556352.0,0.140,0.320,0.420
22-02 19:56:46,1.0,0.0,0.0,1285197824.0,20652032.0,2094026752.0,754794496.0,0.0,0.0,0.0,24576.0,2000.0,3130.0,3.125,1.042,88.542,7.292,0.0,0.0,15393.0,8132.0,911065.0,26148.0,1285197824.0,20652032.0,2094026752.0,754794496.0,0.140,0.320,0.420
22-02 19:56:47,0.0,0.0,0.0,1285136384.0,20652032.0,2094977024.0,753905664.0,0.0,0.0,0.0,0.0,1980.0,3168.0,2.083,2.083,95.833,0.0,0.0,0.0,3146.0,10433.0,902500.0,25108.0,1285136384.0,20652032.0,2094977024.0,753905664.0,0.130,0.320,0.410
22-02 19:56:48,1.0,0.0,0.0,1285242880.0,20652032.0,2095759360.0,753016832.0,0.0,0.0,0.0,0.0,2100.0,3116.0,3.158,1.053,94.737,0.0,0.0,1.053,35913.0,24573.0,879766.0,28706.0,1285242880.0,20652032.0,2095759360.0,753016832.0,0.130,0.320,0.410
22-02 19:56:49,2.0,0.0,0.0,1285185536.0,20652032.0,2096578560.0,752254976.0,0.0,0.0,0.0,16384.0,2004.0,3092.0,2.105,0.0,96.842,0.0,1.053,0.0,14931.0,12016.0,856728.0,28976.0,1285185536.0,20652032.0,2096578560.0,752254976.0,0.130,0.320,0.410
22-02 19:56:50,1.0,0.0,0.0,1285279744.0,20652032.0,2097754112.0,750985216.0,0.0,0.0,0.0,0.0,2121.0,3286.0,4.167,2.083,92.708,0.0,0.0,1.042,7243.0,13278.0,957668.0,30284.0,1285279744.0,20652032.0,2097754112.0,750985216.0,0.130,0.320,0.410
22-02 19:56:51,2.0,0.0,2.0,1292050432.0,20652032.0,2098610176.0,743358464.0,0.0,0.0,0.0,0.0,2237.0,7637.0,18.750,15.625,64.583,0.0,0.0,1.042,8583.0,25225.0,931488.0,30186.0,1292050432.0,20652032.0,2098610176.0,743358464.0,0.130,0.320,0.410
22-02 19:56:52,1.0,0.0,0.0,1291948032.0,20660224.0,2099466240.0,742596608.0,0.0,0.0,0.0,36864.0,2045.0,3229.0,4.124,1.031,90.722,3.093,0.0,1.031,8796.0,21139.0,939466.0,25808.0,1291948032.0,20660224.0,2099466240.0,742596608.0,0.120,0.310,0.410
22-02 19:56:53,2.0,0.0,0.0,1291902976.0,20660224.0,2100400128.0,741707776.0,0.0,0.0,0.0,0.0,2033.0,3062.0,3.158,1.053,95.789,0.0,0.0,0.0,3846.0,16596.0,912892.0,29228.0,1291902976.0,20660224.0,2100400128.0,741707776.0,0.120,0.310,0.410
22-02 19:56:54,1.0,0.0,0.0,1291902976.0,20660224.0,2101288960.0,740818944.0,0.0,0.0,0.0,45056.0,2075.0,3170.0,3.158,1.053,95.789,0.0,0.0,0.0,3642.0,15600.0,940624.0,30074.0,1291902976.0,20660224.0,2101288960.0,740818944.0,0.120,0.310,0.410
22-02 19:56:55,1.0,0.0,0.0,1291968512.0,20660224.0,2102239232.0,739803136.0,0.0,0.0,0.0,12288.0,2106.0,3352.0,4.124,1.031,93.814,0.0,0.0,1.031,7557.0,14611.0,984756.0,28660.0,1291968512.0,20660224.0,2102239232.0,739803136.0,0.120,0.310,0.410
22-02 19:56:56,1.0,0.0,0.0,1292095488.0,20668416.0,2103119872.0,738787328.0,0.0,0.0,0.0,16384.0,2034.0,3087.0,2.105,1.053,93.684,2.105,1.053,0.0,2338.0,11798.0,926490.0,28238.0,1292095488.0,20668416.0,2103119872.0,738787328.0,0.120,0.310,0.410
22-02 19:56:57,1.0,0.0,0.0,1292156928.0,20668416.0,2103947264.0,737898496.0,0.0,0.0,0.0,0.0,2032.0,3087.0,3.158,1.053,95.789,0.0,0.0,0.0,15455.0,15247.0,917182.0,28778.0,1292156928.0,20668416.0,2103947264.0,737898496.0,0.110,0.310,0.410
22-02 19:56:58,1.0,0.0,0.0,1292341248.0,20668416.0,2105032704.0,736628736.0,0.0,0.0,0.0,0.0,3681.0,3242.0,5.495,3.297,90.110,0.0,0.0,1.099,116340.0,32031674.0,892254.0,28522.0,1292341248.0,20668416.0,2105032704.0,736628736.0,0.110,0.310,0.410
22-02 19:56:59,1.0,0.0,0.0,1292328960.0,20668416.0,2105806848.0,735866880.0,0.0,0.0,0.0,0.0,2052.0,3110.0,3.093,1.031,93.814,1.031,0.0,1.031,3749.0,15672.0,887118.0,30376.0,1292328960.0,20668416.0,2105806848.0,735866880.0,0.110,0.310,0.410
22-02 19:57:00,1.0,0.0,0.0,1285922816.0,20676608.0,2106744832.0,741326848.0,0.0,0.0,0.0,77824.0,2207.0,3470.0,3.125,2.083,90.625,3.125,1.042,0.0,5156.0,60666.0,938108.0,46542.0,1285922816.0,20676608.0,2106744832.0,741326848.0,0.110,0.310,0.410
22-02 19:57:01,1.0,0.0,0.0,1285693440.0,20676608.0,2107600896.0,740700160.0,0.0,0.0,0.0,0.0,1990.0,3070.0,3.191,0.0,96.809,0.0,0.0,0.0,2761.0,6159.0,886423.0,29168.0,1285693440.0,20676608.0,2107600896.0,740700160.0,0.110,0.310,0.410
22-02 19:57:02,1.0,0.0,0.0,1285730304.0,20676608.0,2108452864.0,739811328.0,0.0,0.0,0.0,0.0,2088.0,3168.0,3.125,2.083,94.792,0.0,0.0,0.0,5973.0,11620.0,975653.0,30338.0,1285730304.0,20676608.0,2108452864.0,739811328.0,0.100,0.300,0.410
